"ID Города";"Город";"Погода";"Температура";"Последнее обновление"
462755;"Zhukovskiy";"Clouds";2.24;"2018-10-25 22:00:00"
505597;"Pravdinskiy";"Clouds";2.0;"2018-10-25 22:00:00"
511153;"Perovo";"Clouds";2.25;"2018-10-25 22:00:00"
514171;"Ostrov";"Rain";0.0;"2018-10-25 22:00:00"
514175;"Ostrov";"Clouds";-0.69;"2018-10-25 22:51:57"
514178;"Ostrov";"Clouds";2.24;"2018-10-25 22:00:00"
524901;"Moscow";"Snow";2.5;"2018-10-25 22:30:00"
544119;"Kosino";"Rain";5.87;"2018-10-25 22:56:08"
544123;"Kosino";"Snow";2.5;"2018-10-25 22:30:00"
7897063;"Ostrov";"Clouds";-8.06;"2018-10-25 22:49:11"
